step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_OUT,DEBIT,PAYMENT,TRANSFER
114,26553.83,81494.25,32903.8,40382.19,149308.16,0,1,0,0
666,60716.31,4143.08,30873.12,8782.11,82132.68,1,1,1,0
84,6834.33,136055.64,165213.71,169212.23,59014.55,0,0,1,0
454,78088.89,113282.19,181348.05,120440.87,40211.44,0,0,0,0
125,12520.46,5193.6,126765.39,18485.87,154983.42,0,1,1,1
191,80178.44,11572.07,113529.17,100758.16,155407.53,0,1,1,1
368,72599.86,69729.58,179782.24,3671.72,80495.68,0,0,1,1
311,44618.81,39534.55,183544.94,52981.41,185741.75,0,1,1,0
340,43196.75,163696.21,165592.64,22643.15,41959.45,1,0,0,0
32,69182.2,9088.96,129705.59,89209.98,138231.57,1,1,1,0
275,64052.78,71673.81,92441.6,28443.39,60278.07,1,1,1,1
411,73926.96,21454.07,94166.35,59805.85,81276.47,0,1,0,0
199,48549.88,162100.67,92605.8,72950.4,71698.04,1,0,1,1
107,23644.22,71207.41,139761.65,165841.36,150855.69,0,1,0,1
235,65159.29,185562.65,135758.87,73185.14,195040.75,1,1,0,1
640,34371.4,164427.28,166149.36,99933.25,20173.08,1,0,1,0
659,43646.26,84107.74,3332.45,42029.14,79411.07,1,0,1,1
426,53227.86,30929.23,32624.43,162676.72,166212.53,1,0,1,1
540,13889.12,98299.64,185867.58,162880.07,42563.78,1,0,1,1
298,61532.38,177222.22,101572.58,51721.7,7340.43,1,1,1,1
6,57855.98,172767.6,40580.46,1146.24,176427.21,0,0,0,1
308,95065.84,89626.48,177678.92,66074.9,108406.16,0,0,0,1
557,51176.45,128251.79,34189.53,29371.34,93937.75,1,1,0,0
48,77989.88,115215.71,34001.5,76143.39,59112.03,1,0,1,0
279,79977.93,179833.09,55444.12,10813.94,33500.72,0,1,0,1
621,88717.36,23329.93,15240.17,135770.0,7297.73,1,1,1,1
211,92734.59,182551.34,77048.67,176297.39,139439.74,1,0,1,1
483,1297.69,176322.36,156930.9,132276.56,109086.95,1,1,0,0
62,58632.18,153147.27,73708.34,91879.5,87263.98,0,0,1,0
269,8655.11,180874.19,116225.36,197571.89,113132.09,1,1,0,1
143,74984.1,93291.97,7878.54,188190.07,1801.65,1,0,1,1
164,60017.92,17333.73,8615.81,139011.36,133836.67,0,1,1,1
629,68351.64,95059.02,181409.18,3165.07,8145.14,1,0,0,0
226,57853.39,188084.84,48860.47,25236.4,30900.6,0,0,1,0
537,25463.99,85790.48,35514.2,10186.63,192035.14,0,1,0,0
402,67993.47,55307.64,168636.27,40570.55,114292.02,1,0,0,1
150,21146.42,197645.69,83823.69,63612.94,197368.12,0,0,0,1
719,18066.7,103568.1,108438.93,183334.26,11183.35,0,1,0,1
177,13706.47,179298.72,140466.94,50950.96,98444.85,0,0,1,1
536,96906.45,155676.44,154971.85,115259.99,180101.6,0,0,1,1
276,78570.48,183742.72,155763.92,91743.63,124853.75,0,0,1,1
32,67945.76,3153.91,167772.45,173763.92,178552.0,1,0,1,0
488,80317.54,95414.06,140707.49,40631.67,14286.39,0,1,0,0
225,34083.55,175379.93,142127.93,103899.51,122990.14,0,1,1,1
559,66640.84,199806.77,177348.02,68997.04,53294.82,0,0,1,0
660,58102.28,161642.46,97193.46,19276.22,46950.92,1,0,0,1
596,1692.06,24309.57,62146.85,49497.55,150289.02,1,0,1,1
697,70829.98,181051.29,24746.24,124101.57,106365.42,0,0,0,1
425,69073.63,36894.66,79262.16,192697.56,153407.11,1,0,1,0
267,81991.85,87278.75,52007.9,178485.95,157815.05,1,1,1,0
145,86777.65,798.22,197865.68,152466.58,39677.99,0,1,1,0
162,84462.19,71961.45,142752.49,85297.18,184659.98,0,0,0,0
469,53208.12,40901.25,133037.87,116160.68,169663.62,1,1,0,0
716,7606.75,42456.75,73854.04,4676.7,77597.99,0,1,0,0
227,91004.61,153081.89,149920.38,94885.29,170732.07,1,1,0,1
99,26463.27,21171.51,97201.7,169422.31,34472.37,0,1,1,0
47,43112.47,141889.73,194107.86,175576.04,136263.02,1,1,0,1
61,41226.09,25795.56,158405.84,31649.68,90188.92,1,1,1,1
122,88075.49,51662.69,21889.38,24638.59,163401.75,1,0,0,1
584,23087.88,55600.81,60480.84,196721.89,138942.28,1,0,0,1
205,96708.28,126299.8,104174.6,110265.23,163985.03,0,0,0,1
441,35305.45,94044.51,161186.17,66920.14,193795.94,1,1,1,1
143,83984.1,182524.57,157306.03,116202.4,16170.73,1,1,0,0
326,16891.27,71351.36,172166.23,169068.01,45931.99,0,1,1,1
466,39596.47,137324.72,3716.2,59598.55,149352.82,1,0,1,1
342,99453.18,163414.37,160012.47,108898.06,188698.23,1,1,0,1
304,14327.95,22950.17,199857.11,176605.16,112795.29,1,1,1,1
27,67027.56,142728.11,191254.71,85397.1,72805.01,1,0,1,0
139,71652.78,104632.23,134713.9,18010.64,87546.77,1,1,1,0
638,88256.77,181196.0,173962.4,39951.14,126835.34,1,1,1,1
266,31688.02,141843.63,59660.3,67079.21,193704.17,0,0,0,0
32,45587.32,198819.11,49744.01,46988.09,82608.35,1,1,0,0
28,98293.91,7612.19,157304.71,58435.8,176603.55,0,1,0,0
721,26885.86,86063.05,123616.04,18091.24,130419.55,1,0,0,1
642,69112.04,40219.87,108105.17,34777.63,122679.23,1,0,1,1
154,78483.52,134310.0,109065.58,12148.93,162479.41,1,1,1,0
561,86369.35,74454.7,106630.58,58629.14,191877.49,0,1,0,0
217,23686.72,174028.53,29537.61,136151.33,38086.29,0,0,0,0
195,5041.77,98492.93,133132.16,187704.08,178852.15,1,0,1,0
411,81721.54,75969.83,119044.96,129023.29,31559.68,1,1,1,0
47,61713.4,9932.76,96728.81,162132.68,171790.45,0,1,0,0
420,75382.89,87551.79,73583.29,24890.33,130590.45,0,0,0,0
609,23031.69,145779.07,131259.69,4358.84,189254.87,0,1,0,1
666,71932.79,25702.39,196356.67,91078.95,110206.25,1,0,1,1
495,47236.73,13246.64,37286.57,4689.55,165829.3,0,0,1,1
447,70472.42,104259.92,23644.87,51500.79,53619.25,0,1,1,0
147,27087.69,7305.5,186994.68,17825.01,21356.76,0,1,1,1
522,67090.87,140440.17,108592.95,22304.41,90524.19,1,1,1,0
170,16686.47,36798.05,140887.96,53721.73,503.77,0,0,0,0
195,62458.67,182560.6,195196.39,55316.47,111838.34,0,0,1,0
68,10417.7,71508.23,101857.78,68417.2,46531.27,0,0,1,1
206,27611.23,157019.76,43674.68,166308.43,182421.38,1,1,1,1
138,24513.73,43931.37,150841.23,89487.24,162603.37,1,0,0,1
